,Depth(m),TVD(m),Flow In Pum Avg(lpm),ROP Avg(m/hr),Torque Abs Avg(kN-m),WOB Avg(mton),RPM Surface Avg(rpm),Dens Mud(sg),mass_flow,depth_normalized,depth_rel,inclination_proxy,dWOB_dmd,dFlow_dmd,dROP_dmd,WOB_mean_10m,Flow_mean_10m,torque_per_rpm,rop_per_rpm,SPP Avg(bar),Annular Press(barg)
Depth(m),1.0,0.43136666910104543,-0.3870708644862268,-0.04109751814921301,0.7536734004404302,-0.30645801993940114,-0.06029044698501535,-0.30098483270338233,-0.47856630667262134,0.41881939908647103,0.6354804266147748,0.9999958877950266,-0.0019693370559289037,0.001069348927191681,-7.148455245340359e-05,-0.32249858810680965,-0.406987206555378,0.596366533577726,-0.04108965379856614,0.24451655392259758,0.5802218697229412
TVD(m),0.43136666910104543,1.0,-0.18530051395546754,-0.0773390097447282,0.5251732052830709,-0.15680000349982864,-0.27536926231516495,-0.035825883050323214,-0.17446406462253902,-0.12263021581207167,0.22625764596353098,0.4287776146170277,0.0029214920225001887,0.0013167469199883413,6.31480118682253e-05,-0.17005772146588852,-0.19573501504769986,0.4932112058094741,0.018487504580406516,-0.274785928613751,-0.00510257077293567
Flow In Pum Avg(lpm),-0.3870708644862268,-0.18530051395546754,1.0,-0.3810579548883392,-0.10278182668551888,-0.025181468391792215,0.3608073044950094,0.03802972352516019,0.8558457363204433,-0.055432105328443254,-0.15472258311725642,-0.38277449961515186,-0.03342873997189302,0.13435947640020637,-0.0009389417103178977,0.03093610088722769,0.9286872922805277,-0.32704310971787504,0.02013996972589662,0.5038871868092224,0.022644719940779066
ROP Avg(m/hr),-0.04109751814921301,-0.0773390097447282,-0.3810579548883392,1.0,-0.10042244802705817,0.30377279122057826,-0.18890942101585123,-0.002925460826782145,-0.33085816824342273,-0.0072297671822039705,-0.0278217402523658,-0.044527010843131466,0.013003853129364697,-0.004136743099270992,0.5419762637364751,0.2553196773279362,-0.30936310357870905,-0.015748410195413474,0.9901506320295185,-0.19912518773188773,-0.005570956451577689
Torque Abs Avg(kN-m),0.7536734004404302,0.5251732052830709,-0.10278182668551888,-0.10042244802705817,1.0,0.09656273434131829,-0.087290755352189,-0.16877963561080012,-0.17052042943220494,0.16181600250477798,0.5060749846019932,0.7433036046516518,0.047629594400308665,0.007138662993208831,-0.0006857821052717209,0.0603411803311475,-0.1171219411287506,0.7961227547039383,-0.001900559193529496,0.3447057998411872,0.6010185545506777
WOB Avg(mton),-0.30645801993940114,-0.15680000349982864,-0.025181468391792215,0.30377279122057826,0.09656273434131829,1.0,-0.15089681318656387,0.049308883304429424,0.003251557645988917,-0.21752417240121702,-0.12428949608684738,-0.323222085915624,0.13466961115670778,-0.03962977791114829,-0.0002934806718048119,0.9123377926856828,0.03626195953744537,0.14338141450385772,0.07538036068070826,0.06340770990676046,0.10404191585572042
RPM Surface Avg(rpm),-0.06029044698501535,-0.27536926231516495,0.3608073044950094,-0.18890942101585123,-0.087290755352189,-0.15089681318656387,1.0,-0.059218308445809574,0.2786682563770046,0.4751540944682761,0.24957919872505321,-0.047308421259981435,-0.021819807575460086,0.01493205605372191,-0.0002615004295419983,-0.13783780929287964,0.3485514807425668,-0.6651316056233811,-0.07922729603251187,0.3088485860765067,0.1736686373813872
Dens Mud(sg),-0.30098483270338233,-0.035825883050323214,0.03802972352516019,-0.002925460826782145,-0.16877963561080012,0.049308883304429424,-0.059218308445809574,1.0,0.5492673968171647,-0.3127897105535576,-0.29890431223705083,-0.3060032889828143,-0.0009070748330128437,-0.00208429562643274,-0.0002617385603125836,0.054177955064609276,0.04243271344827397,-0.08355818444763166,-0.000894047709862046,-0.16632610789524227,-0.20799585925528616
mass_flow,-0.47856630667262134,-0.17446406462253902,0.8558457363204433,-0.33085816824342273,-0.17052042943220494,0.003251557645988917,0.2786682563770046,0.5492673968171647,1.0,-0.20945311653365487,-0.2830043112978738,-0.47735585226844485,-0.02869765531285639,0.11165444537956544,-0.0016892630306764996,0.05283317882128357,0.7982686939927629,-0.2986583415095371,0.015378372185153262,0.3427438966523152,-0.08402831326999399
depth_normalized,0.41881939908647103,-0.12263021581207167,-0.055432105328443254,-0.0072297671822039705,0.16181600250477798,-0.21752417240121702,0.4751540944682761,-0.3127897105535576,-0.20945311653365487,1.0,0.7988262189998561,0.4047838347312774,-0.004142598143507527,0.0016137158945914146,-7.70005361231817e-05,-0.22709849745090094,-0.06012493440514885,-0.16275851018768964,-0.04114835727266272,0.19563587482590591,0.2373860517176575
depth_rel,0.6354804266147748,0.22625764596353098,-0.15472258311725642,-0.0278217402523658,0.5060749846019932,-0.12428949608684738,0.24957919872505321,-0.29890431223705083,-0.2830043112978738,0.7988262189998561,1.0,0.6213957264114129,-0.005392963507828827,0.0020440628038875734,-0.0001103702657544482,-0.12679843346347713,-0.16472854516262184,0.221005111487661,-0.03951791088019716,0.2017827219492199,0.341876939682267
inclination_proxy,0.9999958877950266,0.4287776146170277,-0.38277449961515186,-0.044527010843131466,0.7433036046516518,-0.323222085915624,-0.047308421259981435,-0.3060032889828143,-0.47735585226844485,0.4047838347312774,0.6213957264114129,1.0,-0.0012716266484518362,0.0008260018860182469,-6.378284881719041e-05,-0.3409038589333702,-0.4025460701314246,0.583825212095069,-0.046549202708290625,0.21834629873326883,0.562742131357323
dWOB_dmd,-0.0019693370559289037,0.0029214920225001887,-0.03342873997189302,0.013003853129364697,0.047629594400308665,0.13466961115670778,-0.021819807575460086,-0.0009070748330128437,-0.02869765531285639,-0.004142598143507527,-0.005392963507828827,-0.0012716266484518362,1.0,-0.2732316343335087,0.011071713097432902,-0.07967007633807362,0.044783041381784135,0.0434832080996888,0.017830262887203407,-0.017013037527660625,0.0022226712786497923
dFlow_dmd,0.001069348927191681,0.0013167469199883413,0.13435947640020637,-0.004136743099270992,0.007138662993208831,-0.03962977791114829,0.01493205605372191,-0.00208429562643274,0.11165444537956544,0.0016137158945914146,0.0020440628038875734,0.0008260018860182469,-0.2732316343335087,1.0,-0.007449805541108547,0.03751729422225332,-0.0652740899117655,0.00016581963838585082,0.003647273778252164,0.030504969925808905,0.004391859212884391
dROP_dmd,-7.148455245340359e-05,6.31480118682253e-05,-0.0009389417103178977,0.5419762637364751,-0.0006857821052717209,-0.0002934806718048119,-0.0002615004295419983,-0.0002617385603125836,-0.0016892630306764996,-7.70005361231817e-05,-0.0001103702657544482,-6.378284881719041e-05,0.011071713097432902,-0.007449805541108547,1.0,-0.012778511618854979,0.017017503029227166,-0.00029236691344652107,0.47312163982912436,-0.0009834010315095388,0.0035022120371988974
WOB_mean_10m,-0.32249858810680965,-0.17005772146588852,0.03093610088722769,0.2553196773279362,0.0603411803311475,0.9123377926856828,-0.13783780929287964,0.054177955064609276,0.05283317882128357,-0.22709849745090094,-0.12679843346347713,-0.3409038589333702,-0.07967007633807362,0.03751729422225332,-0.012778511618854979,1.0,0.017468986905512338,0.10499286669624565,0.07187370787880153,0.09931982447347161,0.11305989644080688
Flow_mean_10m,-0.406987206555378,-0.19573501504769986,0.9286872922805277,-0.30936310357870905,-0.1171219411287506,0.03626195953744537,0.3485514807425668,0.04243271344827397,0.7982686939927629,-0.06012493440514885,-0.16472854516262184,-0.4025460701314246,0.044783041381784135,-0.0652740899117655,0.017017503029227166,0.017468986905512338,1.0,-0.3201196302866712,0.015240985511231413,0.47741262736316387,0.01662615968981271
torque_per_rpm,0.596366533577726,0.4932112058094741,-0.32704310971787504,-0.015748410195413474,0.7961227547039383,0.14338141450385772,-0.6651316056233811,-0.08355818444763166,-0.2986583415095371,-0.16275851018768964,0.221005111487661,0.583825212095069,0.0434832080996888,0.00016581963838585082,-0.00029236691344652107,0.10499286669624565,-0.3201196302866712,1.0,0.027317595168843554,0.11809137380887702,0.35065632237774824
rop_per_rpm,-0.04108965379856614,0.018487504580406516,0.02013996972589662,0.9901506320295185,-0.001900559193529496,0.07538036068070826,-0.07922729603251187,-0.000894047709862046,0.015378372185153262,-0.04114835727266272,-0.03951791088019716,-0.046549202708290625,0.017830262887203407,0.003647273778252164,0.47312163982912436,0.07187370787880153,0.015240985511231413,0.027317595168843554,1.0,-0.010794692211182207,-0.025417645116664087
SPP Avg(bar),0.24451655392259758,-0.274785928613751,0.5038871868092224,-0.19912518773188773,0.3447057998411872,0.06340770990676046,0.3088485860765067,-0.16632610789524227,0.3427438966523152,0.19563587482590591,0.2017827219492199,0.21834629873326883,-0.017013037527660625,0.030504969925808905,-0.0009834010315095388,0.09931982447347161,0.47741262736316387,0.11809137380887702,-0.010794692211182207,1.0,0.7611573786231204
Annular Press(barg),0.5802218697229412,-0.00510257077293567,0.022644719940779066,-0.005570956451577689,0.6010185545506777,0.10404191585572042,0.1736686373813872,-0.20799585925528616,-0.08402831326999399,0.2373860517176575,0.341876939682267,0.562742131357323,0.0022226712786497923,0.004391859212884391,0.0035022120371988974,0.11305989644080688,0.01662615968981271,0.35065632237774824,-0.025417645116664087,0.7611573786231204,1.0
